Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,carbs (product.metafields.custom.carbs),fats (product.metafields.custom.fats),ingredients (product.metafields.custom.ingredients),protein (product.metafields.custom.protein),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
stuffed-bell-peppers-beef-chicken,Stuffed Bell Peppers (Beef/Chicken),<h2>Stuffed Bell Peppers (Beef/Chicken)</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
beef-meatballs-dawood-basha,Beef Meatballs (Dawood Basha),<h2>Beef Meatballs (Dawood Basha)</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
keto-swedish-meatballs,Keto Swedish Meatballs,<h2>Keto Swedish Meatballs</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
beef-shawarma,Beef Shawarma,<p><strong>Beef Shawarma</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, shawarma",false,Title,Default Title,,,,,,,,BEEFSHAWARMA,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0028_73343a2a-f4b8-4d4b-a347-eed93f005e1d.jpg?v=1777381769,1,Beef Shawarma — photo 1,false,,,,,,,,kg,,,draft
doner-kebab,Doner Kebab,<h2>Doner Kebab</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
keto-beef-teriyaki,Keto Beef Teriyaki,<h2>Keto Beef Teriyaki</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
keto-beef-stroganoff,Keto Beef Stroganoff,<h2>Keto Beef Stroganoff</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
keto-chicken-teriyaki,Keto Chicken Teriyaki,<h2>Keto Chicken Teriyaki</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
chicken-kofta-with-caramelized-onions,Chicken Kofta with Caramelized Onions,<h2>Chicken Kofta with Caramelized Onions</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
chicken-stroganoff,Chicken Stroganoff,<h2>Chicken Stroganoff</h2><p>High-protein keto meal.</p>,Balanced Bites,,Meal,"",true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
