Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,carbs (product.metafields.custom.carbs),fats (product.metafields.custom.fats),ingredients (product.metafields.custom.ingredients),protein (product.metafields.custom.protein),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chicken-mushroom-stroganoff,Chicken Mushroom Stroganoff,<p><strong>Chicken Mushroom Stroganoff</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, stroganoff",true,Title,Default Title,,,,,,,,CHICKENMUSHROOMSTROG,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0025.jpg,1,Chicken Mushroom Stroganoff — photo 1,false,,,,,,,,kg,,,active
keto-taco-salad,Keto Taco Salad,<h2>Keto Taco Salad</h2>,Balanced Bites,Uncategorized,Salad,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,70.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
creamy-tahini-with-sumac,Creamy Tahini with Sumac,<h2>Creamy Tahini with Sumac</h2>,Balanced Bites,,Salad,,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,70.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
grilled-chicken-caesar-salad,Grilled Chicken Caesar Salad,<p><strong>Grilled Chicken Caesar Salad</strong></p>,Balanced Bites,,Salad,"high-protein, salad",true,Title,Default Title,,,,,,,,GRILLEDCHICKENCAESAR,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Grilled_Chicken_Caesar_Salad.png,1,Grilled Chicken Caesar Salad — photo 1,false,,,,,,,,kg,,,active
rocca-salad,Ruccola (Rocca) Salad,<p><strong>Ruccola (Rocca) Salad</strong></p>,Balanced Bites,,Salad,"fresh, salad",true,Title,Default Title,,,,,,,,ROCCASALAD,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Rocca_Salad.png,1,Ruccola (Rocca) Salad — photo 1,false,,,,,,,,kg,,,active
baked-potatoes,Baked Potatoes,<p><strong>Baked Potatoes</strong></p>,Balanced Bites,,Side Dish,"potatoes, side",true,Title,Default Title,,,,,,,,BAKEDPOTATOES,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Baked_Potatoes.png,1,Baked Potatoes — photo 1,false,,,,,,,,kg,,,active
baked-potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0036.jpg,2,Baked Potatoes — photo 2,,,,,,,,,,,,
seasonal-sauteed-vegetables,Seasonal Sautéed Vegetables,<p><strong>Seasonal Sautéed Vegetables</strong></p>,Balanced Bites,,Side Dish,"side, vegetables",true,Title,Default Title,,,,,,,,SEASONALSAUTEEDVEGET,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Seasonal_Sauteed_Vegetables.png,1,Seasonal Sautéed Vegetables — photo 1,false,,,,,,,,kg,,,active
seasonal-sauteed-vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0038.jpg,2,Seasonal Sautéed Vegetables — photo 2,,,,,,,,,,,,
steamed-egyptian-white-rice,Steamed Egyptian White Rice,<p><strong>Steamed Egyptian White Rice</strong></p>,Balanced Bites,,Side Dish,"grain, rice, side",true,Title,Default Title,,,,,,,,STEAMEDEGYPTIANWHITE,0.0,,100,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Steamed_Egyptian_White_Rice.png,1,Steamed Egyptian White Rice — photo 1,false,,,,,,,,kg,,,active
